Filename,Time (ps),Total Energy (kJ/mol),dH/dλ vdw-lambda = 0.0000,ΔH λ to 0.0000,ΔH λ to 0.1000,ΔH λ to 0.2000,ΔH λ to 0.3000,ΔH λ to 0.4000,ΔH λ to 0.5000,ΔH λ to 0.6000,ΔH λ to 0.7000,ΔH λ to 0.8000,ΔH λ to 0.9000,ΔH λ to 1.0000
dhdl_modified_0.xvg,0.0000,2.8874200e+29,-1.8354316e+23,0.0000000,-3.2296747e+15,-3.2296747e+15,-3.2296747e+15,-3.2296747e+15,-3.2296747e+15,-3.2296747e+15,-3.2296747e+15,-3.2296747e+15,-3.2296747e+15,-3.2296747e+15
dhdl_modified_1.xvg,0.0000,1.7427952e+29,-1.2940185e+23,0.0000000,-2.5583520e+15,-2.5583520e+15,-2.5583520e+15,-2.5583520e+15,-2.5583520e+15,-2.5583520e+15,-2.5583520e+15,-2.5583520e+15,-2.5583520e+15,-2.5583520e+15
dhdl_modified_2.xvg,0.0000,1.0620887e+29,-9.1840646e+22,0.0000000,-2.0355883e+15,-2.0355883e+15,-2.0355883e+15,-2.0355883e+15,-2.0355883e+15,-2.0355883e+15,-2.0355883e+15,-2.0355883e+15,-2.0355883e+15,-2.0355883e+15
dhdl_modified_3.xvg,0.0000,6.5327338e+28,-6.5601301e+22,0.0000000,-1.6265782e+15,-1.6265782e+15,-1.6265782e+15,-1.6265782e+15,-1.6265782e+15,-1.6265782e+15,-1.6265782e+15,-1.6265782e+15,-1.6265782e+15,-1.6265782e+15
dhdl_modified_4.xvg,0.0000,4.0541785e+28,-4.7148923e+22,0.0000000,-1.3051122e+15,-1.3051122e+15,-1.3051122e+15,-1.3051122e+15,-1.3051122e+15,-1.3051122e+15,-1.3051122e+15,-1.3051122e+15,-1.3051122e+15,-1.3051122e+15
dhdl_modified_5.xvg,0.0000,2.5377202e+28,-3.4089088e+22,0.0000000,-1.0513410e+15,-1.0513410e+15,-1.0513410e+15,-1.0513410e+15,-1.0513410e+15,-1.0513410e+15,-1.0513410e+15,-1.0513410e+15,-1.0513410e+15,-1.0513410e+15
dhdl_modified_6.xvg,0.0000,1.6017144e+28,-2.4788591e+22,0.0000000,-8.5016113e+14,-8.5016113e+14,-8.5016113e+14,-8.5016113e+14,-8.5016113e+14,-8.5016113e+14,-8.5016113e+14,-8.5016113e+14,-8.5016113e+14,-8.5016113e+14
dhdl_modified_7.xvg,0.0000,1.0190683e+28,-1.8125718e+22,0.0000000,-6.9002287e+14,-6.9002287e+14,-6.9002287e+14,-6.9002287e+14,-6.9002287e+14,-6.9002287e+14,-6.9002287e+14,-6.9002287e+14,-6.9002287e+14,-6.9002287e+14
dhdl_modified_8.xvg,0.0000,6.5340363e+27,-1.3324922e+22,0.0000000,-5.6205194e+14,-5.6205194e+14,-5.6205194e+14,-5.6205194e+14,-5.6205194e+14,-5.6205194e+14,-5.6205194e+14,-5.6205194e+14,-5.6205194e+14,-5.6205194e+14
dhdl_modified_9.xvg,0.0000,4.2208565e+27,-9.8464113e+21,0.0000000,-4.5939393e+14,-4.5939393e+14,-4.5939393e+14,-4.5939393e+14,-4.5939393e+14,-4.5939393e+14,-4.5939393e+14,-4.5939393e+14,-4.5939393e+14,-4.5939393e+14
dhdl_modified_10.xvg,0.0000,2.7463578e+27,-7.3124559e+21,0.0000000,-3.7674034e+14,-3.7674034e+14,-3.7674034e+14,-3.7674034e+14,-3.7674034e+14,-3.7674034e+14,-3.7674034e+14,-3.7674034e+14,-3.7674034e+14,-3.7674034e+14
dhdl_modified_11.xvg,0.0000,1.7994856e+27,-5.4569447e+21,0.0000000,-3.0995571e+14,-3.0995571e+14,-3.0995571e+14,-3.0995571e+14,-3.0995571e+14,-3.0995571e+14,-3.0995571e+14,-3.0995571e+14,-3.0995571e+14,-3.0995571e+14
dhdl_modified_12.xvg,0.0000,1.1870748e+27,-4.0913818e+21,0.0000000,-2.5580750e+14,-2.5580750e+14,-2.5580750e+14,-2.5580750e+14,-2.5580750e+14,-2.5580750e+14,-2.5580750e+14,-2.5580750e+14,-2.5580750e+14,-2.5580750e+14
dhdl_modified_13.xvg,0.0000,7.8822871e+26,-3.0814845e+21,0.0000000,-2.1175804e+14,-2.1175804e+14,-2.1175804e+14,-2.1175804e+14,-2.1175804e+14,-2.1175804e+14,-2.1175804e+14,-2.1175804e+14,-2.1175804e+14,-2.1175804e+14
dhdl_modified_14.xvg,0.0000,5.2672567e+26,-2.3310900e+21,0.0000000,-1.7580828e+14,-1.7580828e+14,-1.7580828e+14,-1.7580828e+14,-1.7580828e+14,-1.7580828e+14,-1.7580828e+14,-1.7580828e+14,-1.7580828e+14,-1.7580828e+14
dhdl_modified_15.xvg,0.0000,3.5415321e+26,-1.7709647e+21,0.0000000,-1.4637713e+14,-1.4637713e+14,-1.4637713e+14,-1.4637713e+14,-1.4637713e+14,-1.4637713e+14,-1.4637713e+14,-1.4637713e+14,-1.4637713e+14,-1.4637713e+14
