Filename,Time (ps),Total Energy (kJ/mol),dH/dλ vdw-lambda = 0.0000,ΔH λ to 0.0000,ΔH λ to 0.1000,ΔH λ to 0.2000,ΔH λ to 0.3000,ΔH λ to 0.4000,ΔH λ to 0.5000,ΔH λ to 0.6000,ΔH λ to 0.7000,ΔH λ to 0.8000,ΔH λ to 0.9000,ΔH λ to 1.0000
dhdl_modified_27.xvg,0.0000,6.8389219e+35,-4.7515820e+27,0.0000000,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18,-2.8263469e+18
dhdl_modified_28.xvg,0.0000,2.8325797e+35,-2.5811841e+27,0.0000000,-1.8816810e+18,-1.8816810e+18,-1.8816810e+18,-1.8816810e+18,-1.8816810e+18,-1.8816810e+18,-1.8816810e+18,-1.8816810e+18,-1.8816810e+18,-1.8816810e+18
dhdl_modified_29.xvg,0.0000,1.2076186e+35,-1.4305087e+27,0.0000000,-1.2695808e+18,-1.2695808e+18,-1.2695808e+18,-1.2695808e+18,-1.2695808e+18,-1.2695808e+18,-1.2695808e+18,-1.2695808e+18,-1.2695808e+18,-1.2695808e+18
dhdl_modified_30.xvg,0.0000,5.2897326e+34,-8.0779436e+26,0.0000000,-8.6736232e+17,-8.6736232e+17,-8.6736232e+17,-8.6736232e+17,-8.6736232e+17,-8.6736232e+17,-8.6736232e+17,-8.6736232e+17,-8.6736232e+17,-8.6736232e+17
dhdl_modified_31.xvg,0.0000,2.3766755e+34,-4.6424685e+26,0.0000000,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17,-5.9955998e+17
dhdl_modified_32.xvg,0.0000,1.0936549e+34,-2.7125594e+26,0.0000000,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17,-4.1903745e+17
dhdl_modified_33.xvg,0.0000,5.1470960e+33,-1.6098094e+26,0.0000000,-2.9592589e+17,-2.9592589e+17,-2.9592589e+17,-2.9592589e+17,-2.9592589e+17,-2.9592589e+17,-2.9592589e+17,-2.9592589e+17,-2.9592589e+17,-2.9592589e+17
dhdl_modified_34.xvg,0.0000,2.4743752e+33,-9.6951300e+25,0.0000000,-2.1104210e+17,-2.1104210e+17,-2.1104210e+17,-2.1104210e+17,-2.1104210e+17,-2.1104210e+17,-2.1104210e+17,-2.1104210e+17,-2.1104210e+17,-2.1104210e+17
dhdl_modified_35.xvg,0.0000,1.2136397e+33,-5.9206642e+25,0.0000000,-1.5190787e+17,-1.5190787e+17,-1.5190787e+17,-1.5190787e+17,-1.5190787e+17,-1.5190787e+17,-1.5190787e+17,-1.5190787e+17,-1.5190787e+17,-1.5190787e+17
dhdl_modified_36.xvg,0.0000,6.0668138e+32,-3.6635017e+25,0.0000000,-1.1030561e+17,-1.1030561e+17,-1.1030561e+17,-1.1030561e+17,-1.1030561e+17,-1.1030561e+17,-1.1030561e+17,-1.1030561e+17,-1.1030561e+17,-1.1030561e+17
dhdl_modified_37.xvg,0.0000,3.0878292e+32,-2.2952896e+25,0.0000000,-8.0765331e+16,-8.0765331e+16,-8.0765331e+16,-8.0765331e+16,-8.0765331e+16,-8.0765331e+16,-8.0765331e+16,-8.0765331e+16,-8.0765331e+16,-8.0765331e+16
dhdl_modified_38.xvg,0.0000,1.5987221e+32,-1.4551920e+25,0.0000000,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16,-5.9604658e+16
dhdl_modified_39.xvg,0.0000,8.4130212e+31,-9.3301879e+24,0.0000000,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16,-4.4319372e+16
dhdl_modified_40.xvg,0.0000,4.4962466e+31,-6.0466133e+24,0.0000000,-3.3190068e+16,-3.3190068e+16,-3.3190068e+16,-3.3190068e+16,-3.3190068e+16,-3.3190068e+16,-3.3190068e+16,-3.3190068e+16,-3.3190068e+16,-3.3190068e+16
dhdl_modified_41.xvg,0.0000,2.4386606e+31,-3.9588301e+24,0.0000000,-2.5025220e+16,-2.5025220e+16,-2.5025220e+16,-2.5025220e+16,-2.5025220e+16,-2.5025220e+16,-2.5025220e+16,-2.5025220e+16,-2.5025220e+16,-2.5025220e+16
dhdl_modified_42.xvg,0.0000,1.3414201e+31,-2.6172978e+24,0.0000000,-1.8991916e+16,-1.8991916e+16,-1.8991916e+16,-1.8991916e+16,-1.8991916e+16,-1.8991916e+16,-1.8991916e+16,-1.8991916e+16,-1.8991916e+16,-1.8991916e+16
dhdl_modified_43.xvg,0.0000,7.4783940e+30,-1.7465282e+24,0.0000000,-1.4502752e+16,-1.4502752e+16,-1.4502752e+16,-1.4502752e+16,-1.4502752e+16,-1.4502752e+16,-1.4502752e+16,-1.4502752e+16,-1.4502752e+16,-1.4502752e+16
dhdl_modified_44.xvg,0.0000,4.2230847e+30,-1.1758710e+24,0.0000000,-1.1140546e+16,-1.1140546e+16,-1.1140546e+16,-1.1140546e+16,-1.1140546e+16,-1.1140546e+16,-1.1140546e+16,-1.1140546e+16,-1.1140546e+16,-1.1140546e+16
dhdl_modified_45.xvg,0.0000,2.4142855e+30,-7.9843374e+23,0.0000000,-8.6064874e+15,-8.6064874e+15,-8.6064874e+15,-8.6064874e+15,-8.6064874e+15,-8.6064874e+15,-8.6064874e+15,-8.6064874e+15,-8.6064874e+15,-8.6064874e+15
